GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
a915889c,bior4.4,5,0.786,random,9408,2014,7394,resnet.embedder.embedder.convolution
a915889c,bior4.4,5,0.786,random,36864,7889,28975,resnet.encoder.stages.0.layers.0.layer.0.convolution
a915889c,bior4.4,5,0.786,random,36864,7889,28975,resnet.encoder.stages.0.layers.0.layer.1.convolution
a915889c,bior4.4,5,0.786,random,36864,7889,28975,resnet.encoder.stages.0.layers.1.layer.0.convolution
a915889c,bior4.4,5,0.786,random,36864,7889,28975,resnet.encoder.stages.0.layers.1.layer.1.convolution
a915889c,bior4.4,5,0.786,random,8192,1753,6439,resnet.encoder.stages.1.layers.0.shortcut.convolution
a915889c,bior4.4,5,0.786,random,73728,15778,57950,resnet.encoder.stages.1.layers.0.layer.0.convolution
a915889c,bior4.4,5,0.786,random,147456,31556,115900,resnet.encoder.stages.1.layers.0.layer.1.convolution
a915889c,bior4.4,5,0.786,random,147456,31556,115900,resnet.encoder.stages.1.layers.1.layer.0.convolution
a915889c,bior4.4,5,0.786,random,147456,31556,115900,resnet.encoder.stages.1.layers.1.layer.1.convolution
a915889c,bior4.4,5,0.786,random,32768,7013,25755,resnet.encoder.stages.2.layers.0.shortcut.convolution
a915889c,bior4.4,5,0.786,random,294912,63111,231801,resnet.encoder.stages.2.layers.0.layer.0.convolution
a915889c,bior4.4,5,0.786,random,589824,126223,463601,resnet.encoder.stages.2.layers.0.layer.1.convolution
a915889c,bior4.4,5,0.786,random,589824,126223,463601,resnet.encoder.stages.2.layers.1.layer.0.convolution
a915889c,bior4.4,5,0.786,random,589824,126223,463601,resnet.encoder.stages.2.layers.1.layer.1.convolution
a915889c,bior4.4,5,0.786,random,131072,28050,103022,resnet.encoder.stages.3.layers.0.shortcut.convolution
a915889c,bior4.4,5,0.786,random,1179648,252445,927203,resnet.encoder.stages.3.layers.0.layer.0.convolution
a915889c,bior4.4,5,0.786,random,2359296,504890,1854406,resnet.encoder.stages.3.layers.0.layer.1.convolution
a915889c,bior4.4,5,0.786,random,2359296,504890,1854406,resnet.encoder.stages.3.layers.1.layer.0.convolution
a915889c,bior4.4,5,0.786,random,2359296,504890,1854406,resnet.encoder.stages.3.layers.1.layer.1.convolution
